fc,reg,train_AUC,test_AUC,diff_AUC,k,model
lqph,1.8000000000000003,0.8077435478806907,0.6807882971729126,0.12695525070777813,5,Maxent
lqpht,1.5000000000000002,0.8091596686932885,0.6866652222061727,0.12249444648711583,10,Maxent
lqph,0.7000000000000001,0.8438655963673698,0.6709729272419628,0.17289266912540702,15,Maxent
lh,0.30000000000000004,0.8782023355685185,0.6466970003370408,0.23150533523147765,20,Maxent
lqph,0.7000000000000001,0.8592870448918821,0.6777425944841675,0.1815444504077146,25,Maxent
lqpht,0.8,0.8421676591586663,0.6880932155396987,0.1540744436189676,30,Maxent
lh,1.4000000000000001,0.7945463031451684,0.6921507856422084,0.10239551750295994,35,Maxent
lqph,0.4,0.8705787143432693,0.7157126168224299,0.15486609752083935,40,Maxent
lqph,0.6,0.8615476166503434,0.692573981016192,0.16897363563415135,45,Maxent
lqph,1,0.8197771374951703,0.7169444444444445,0.10283269305072584,50,Maxent
